20210611160303317,0.725336,0.317326,0.60711
20210611160303317,0.725751,0.316361,0.613783
20210611160303317,0.725615,0.318196,0.60827
20210611160303317,0.724888,0.317489,0.606159
20210611160303317,0.725689,0.316576,0.612735
20210611160303317,0.725668,0.31757,0.610094
20210611160303322,0.724897,0.318162,0.604844
20210611160303323,0.72554,0.316451,0.611724
20210611160303382,0.726135,0.317297,0.612068
20210611160303484,0.725013,0.318026,0.604683
20210611160303586,0.725481,0.316221,0.61004
20210611160303682,0.726275,0.316091,0.61407
20210611160303784,0.72501,0.317108,0.607805
20210611160303886,0.7256,0.316063,0.608027
20210611160303982,0.725854,0.315553,0.613579
20210611160304084,0.725405,0.316796,0.608255
20210611160304186,0.72559,0.316224,0.606818
20210611160304282,0.725561,0.315472,0.613755
20210611160304384,0.726081,0.316521,0.609046
20210611160304486,0.725072,0.316259,0.60662
20210611160304582,0.725629,0.314905,0.613804
20210611160304684,0.72627,0.315802,0.611131
20210611160304786,0.724899,0.316207,0.605593
20210611160304882,0.725825,0.314597,0.612815
20210611160304984,0.725749,0.316187,0.611734
20210611160305086,0.724936,0.31709,0.605546
20210611160305182,0.725583,0.315599,0.612056
20210611160305284,0.725723,0.316708,0.611665
20210611160305386,0.725299,0.317425,0.605528
20210611160305482,0.725274,0.31585,0.611817
20210611160305584,0.726036,0.316694,0.611788
20210611160305692,0.725208,0.317641,0.605167
20210611160305782,0.725059,0.316147,0.610923
20210611160305884,0.726171,0.315981,0.613875
20210611160305987,0.724991,0.318027,0.605346
20210611160306082,0.725601,0.31628,0.609784
20210611160306185,0.725983,0.316381,0.613463
20210611160306286,0.724902,0.317835,0.605569
20210611160306382,0.725784,0.316613,0.609512
20210611160306484,0.726039,0.316348,0.613298
20210611160306587,0.725189,0.317615,0.605905
20210611160306683,0.725615,0.316454,0.609471
20210611160306785,0.726051,0.316359,0.613151
20210611160306887,0.72515,0.317438,0.606621
20210611160306983,0.725234,0.316543,0.607921
20210611160307085,0.726193,0.315952,0.613832
20210611160307187,0.725206,0.316934,0.607496
20210611160307283,0.725199,0.316601,0.607161
20210611160307385,0.725799,0.316599,0.613076
20210611160307487,0.72546,0.317734,0.607704
